[ 6 -56	 -7 -56	 113
 0 -56	 13 -56	 113
 4 -56	 -10 -56	 113
 9 -56	 -3 -56	 113
 9 -56	 -1 -56	 113
 -12 -56	 -3 -56	 113
 2 -56	 -11 -56	 113
 3 -56	 1 -56	 113
 11 -56	 4 -56	 113
 7 -56	 4 -56	 113
 11 -56	 -7 -56	 113
 11 -56	 6 -56	 113
 -7 -56	 -10 -56	 113
 9 -56	 4 -56	 113
 -6 -56	 -8 -56	 113
 -9 -56	 -8 -56	 113
 -7 -56	 -3 -56	 113
 -5 -56	 -2 -56	 113
 3 -56	 -11 -56	 113
 4 -56	 -13 -56	 113
 10 -56	 1 -56	 113
 4 -56	 10 -56	 113
 4 -56	 -12 -56	 113
 -10 -56	 3 -56	 113
 3 -56	 6 -56	 113
 0 -56	 -5 -56	 113
 8 -56	 0 -56	 113
 -6 -56	 8 -56	 113
 -6 -56	 2 -56	 113
 0 -56	 8 -56	 113
 5 -56	 -5 -56	 113
 7 -56	 8 -56	 113
 -10 -56	 -8 -56	 113
 -1 -56	 -6 -56	 113
 0 -56	 0 -56	 113
 4 -56	 -5 -56	 113
 11 -56	 -5 -56	 113
 -1 -56	 -8 -56	 113
 -7 -56	 -1 -56	 113
 -2 -56	 6 -56	 113
 -4 -56	 13 -56	 113
 1 -56	 -7 -56	 113
 0 -56	 -4 -56	 113
 -6 -56	 -2 -56	 113
 -6 -56	 -4 -56	 113
 1 -56	 1 -56	 113
 7 -56	 -12 -56	 113
 -7 -56	 -9 -56	 113
 8 -56	 -8 -56	 113
 -13 -56	 -5 -56	 113
 -8 -56	 -1 -56	 113
 -7 -56	 -6 -56	 113
 -7 -56	 4 -56	 113
 12 -56	 3 -56	 113
 -3 -56	 -3 -56	 113
 2 -56	 -9 -56	 113
 -2 -56	 -1 -56	 113
 3 -56	 8 -56	 113
 10 -56	 -8 -56	 113
 -10 -56	 -2 -56	 113
 -9 -56	 -2 -56	 113
 -1 -56	 4 -56	 113
 3 -56	 -12 -56	 113
 -7 -56	 11 -56	 113
 2 -56	 12 -56	 113
 -5 -56	 -9 -56	 113
 -11 -56	 5 -56	 113
 -7 -56	 1 -56	 113
 -9 -56	 -3 -56	 113
 2 -56	 -12 -56	 113
 -4 -56	 -12 -56	 113
 -13 -56	 5 -56	 113
 -6 -56	 -5 -56	 113
 -1 -56	 -9 -56	 113
 -3 -56	 12 -56	 113
 1 -56	 -8 -56	 113
 -10 -56	 1 -56	 113
 -1 -56	 -4 -56	 113
 9 -56	 5 -56	 113
 9 -56	 1 -56	 113
 2 -56	 4 -56	 113
 -1 -56	 0 -56	 113
 -2 -56	 11 -56	 113
 -7 -56	 2 -56	 113
 -9 -56	 5 -56	 113
 0 -56	 10 -56	 113
 -6 -56	 5 -56	 113
 11 -56	 3 -56	 113
 -1 -56	 5 -56	 113
 12 -56	 1 -56	 113
 -7 -56	 0 -56	 113
 4 -56	 -4 -56	 113
 -4 -56	 6 -56	 113
 -8 -56	 -11 -56	 113
 -3 -56	 7 -56	 113
 -8 -56	 0 -56	 113
 8 -56	 -4 -56	 113
 10 -56	 2 -56	 113
 5 -56	 0 -56	 113
 5 -56	 -4 -56	 113
 4 -56	 1 -56	 113
 2 -56	 10 -56	 113
 7 -56	 3 -56	 113
 -1 -56	 -5 -56	 113
 2 -56	 2 -56	 113
 -1 -56	 6 -56	 113
 -7 -56	 5 -56	 113
