[ 6	 7 153
 2	 16 153
 -15	 1 153
 16	 8 153
 -17	 8 153
 -2	 4 153
 18	 6 153
 1	 16 153
 13	 1 153
 -8	 9 153
 -12	 9 153
 12	 -2 153
 -11	 -7 153
 -11	 15 153
 -4	 9 153
 -3	 15 153
 -5	 -9 153
 -1	 14 153
 3	 -12 153
 -9	 -11 153
 -5	 -3 153
 -2	 -12 153
 5	 -6 153
 -8	 17 153
 -5	 16 153
 11	 2 153
 17	 -1 153
 -8	 -1 153
 13	 -1 153
 8	 -6 153
 13	 13 153
 9	 -15 153
 0	 9 153
 4	 14 153
 6	 -17 153
 9	 -7 153
 8	 -7 153
 -6	 15 153
 -8	 -15 153
 -6	 3 153
 15	 8 153
 13	 3 153
 -10	 -15 153
 -17	 -5 153
 4	 8 153
 11	 -10 153
 -15	 7 153
 2	 1 153
 5	 -18 153
 14	 0 153
 -18	 0 153
 3	 7 153
 8	 11 153
 -6	 8 153
 -6	 7 153
 -13	 -10 153
 18	 -5 153
 -7	 14 153
 8	 -16 153
 -18	 4 153
 13	 -2 153
 -1	 -18 153
 -13	 -11 153
 17	 -3 153
 -6	 -12 153
 6	 10 153
 -4	 18 153
 10	 13 153
 11	 7 153
 14	 -7 153
 3	 8 153
 -11	 -8 153
 12	 -8 153
 -9	 0 153
 18	 1 153
 18	 -6 153
 8	 16 153
 10	 -16 153
 -4	 -15 153
 -17	 -7 153
 -7	 13 153
 -7	 9 153
 -9	 -16 153
 7	 -4 153
 1	 -10 153
 -2	 15 153
 15	 -3 153
 -6	 12 153
 -15	 9 153
 1	 18 153
 -10	 5 153
 4	 9 153
 6	 -4 153
 9	 -5 153
 17	 -6 153
 13	 -5 153
 -8	 1 153
 12	 1 153
 -10	 4 153
 0	 6 153
 -13	 10 153
 11	 -8 153
 17	 0 153
 2	 18 153
 2	 -7 153
 -8	 -10 153
 8	 -1 153
 3	 -3 153
 -7	 12 153
 13	 -8 153
 5	 -1 153
 0	 -4 153
 1	 10 153
 6	 -14 153
 9	 9 153
 1	 2 153
 6	 -13 153
 -4	 12 153
 -5	 0 153
 6	 -10 153
 -10	 0 153
 15	 -10 153
 3	 -13 153
 8	 17 153
 -3	 6 153
 10	 9 153
 8	 -10 153
 -3	 1 153
 -3	 -5 153
 -14	 1 153
 -13	 5 153
 -16	 0 153
 -12	 -14 153
 -2	 14 153
 -16	 -3 153
 16	 -1 153
 -6	 -14 153
 8	 -8 153
 7	 2 153
 -13	 7 153
 0	 -3 153
 18	 -2 153
 -14	 -2 153
 3	 -7 153
 11	 -5 153
 12	 -5 153
 12	 8 153
 -15	 8 153
 -8	 14 153
 13	 5 153
 3	 -15 153
 -6	 -4 153
 -11	 -1 153
 -14	 -5 153
 8	 -9 153
 10	 -13 153
 9	 -6 153
 -7	 -8 153
 2	 -10 153
 -9	 -5 153
 0	 -9 153
 3	 1 153
 -2	 11 153
 2	 5 153
 -1	 9 153
 10	 -2 153
 -3	 -1 153
 -13	 4 153
 11	 -3 153
 -3	 -13 153
 3	 15 153
 8	 9 153
 8	 1 153
 -16	 -10 153
 -17	 6 153
 3	 -4 153
 16	 -6 153
 1	 -14 153
 -2	 8 153
 5	 -14 153
 3	 -17 153
 8	 10 153
 -5	 3 153
 -14	 -1 153
 10	 -10 153
 11	 -11 153
 -4	 -16 153
 -6	 -6 153
 -12	 -4 153
 8	 -11 153
 -12	 12 153
 -1	 16 153
 -16	 -9 153
 -3	 0 153
 2	 -5 153
 8	 3 153
 -1	 11 153
 14	 -6 153
 -2	 17 153
 -4	 5 153
 -5	 2 153
 3	 -6 153
 9	 -11 153
 5	 18 153
 10	 15 153
 -6	 16 153
 -3	 -3 153
 4	 1 153
 -11	 4 153
 -7	 -15 153
 -3	 12 153
 17	 -4 153
 9	 5 153
 -16	 1 153
 -3	 -17 153
 7	 -11 153
 8	 -3 153
 -15	 3 153
 7	 12 153
 11	 -9 153
 -10	 12 153
 1	 12 153
 0	 8 153
 -9	 -6 153
 8	 15 153
 16	 -7 153
 -14	 -4 153
 8	 -5 153
 -11	 -4 153
 4	 -5 153
